[13:42:57] [ServerMain/INFO]: Building unoptimized datafixer
[13:42:59] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[13:43:04] [ServerMain/INFO]: Loaded 7 recipes
[13:43:05] [ServerMain/INFO]: Loaded 1179 advancements
[13:43:06] [ServerMain/WARN]: Failed to parse level-type default, defaulting to minecraft:normal
[13:43:19] [Server thread/INFO]: Starting minecraft server version 1.19.2
[13:43:19] [Server thread/INFO]: Loading properties
[13:43:19] [Server thread/INFO]: Default game type: SURVIVAL
[13:43:19] [Server thread/INFO]: Generating keypair
[13:43:19] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: The handle is invalid
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:276) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:270) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:313) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:177) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:162) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:329) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:396) ~[?:?]
	at afh$1.run(SourceFile:92) [server-1.19.2.jar:?]
[13:43:20] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:43:22] [Server thread/INFO]: Using default channel type
[13:43:22] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[13:43:22] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[13:43:22] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[13:43:22] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[13:43:23] [Server thread/INFO]: Preparing level "world"
[13:43:23] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[13:43:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
